,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Wau,SS,7.7029,27.9953,69.66,97,100,6.64,light rain
313,Guerrero Negro,MX,27.9769,-114.0611,73.99,74,0,11.95,clear sky
314,Arraial Do Cabo,BR,-22.9661,-42.0278,65.1,75,19,14.2,few clouds
315,Sao Miguel,BR,-5.4667,-35.3667,74.17,83,8,16.96,clear sky
316,Aripuana,BR,-9.1667,-60.6333,69.66,50,57,2.86,broken clouds
317,Saskylakh,RU,71.9167,114.0833,81.63,31,9,10.11,clear sky
318,Tambovka,RU,50.0969,128.0489,68.11,64,100,6.8,overcast clouds
319,Buraydah,SA,26.326,43.975,92.03,8,5,8.5,clear sky
320,Sjenica,RS,43.2731,19.9994,65.93,59,0,2.28,clear sky
321,Barahona,DO,18.2085,-71.1008,79.41,86,91,8.16,overcast clouds
322,Pisco,PE,-13.7,-76.2167,62.65,82,90,4.61,overcast clouds
323,Russell,US,32.3502,-85.1999,78.08,93,45,1.43,scattered clouds
324,Talnakh,RU,69.4865,88.3972,69.71,54,52,6.53,broken clouds
325,Port Augusta,AU,-32.5,137.7667,61.7,70,86,18.61,overcast clouds
326,Ahar,IR,38.4774,47.0699,69.22,65,89,7.52,overcast clouds
327,Katobu,ID,-4.9408,122.5276,88.34,51,3,5.95,clear sky
328,Durres,AL,41.3231,19.4414,78.98,49,2,2.64,clear sky
329,Port-Gentil,GA,-0.7193,8.7815,76.42,78,92,11.45,overcast clouds
330,Abu Samrah,SY,35.3029,37.1841,82.83,36,0,7.4,clear sky
331,Goundi,TD,9.3627,17.366,71.19,96,86,3.58,overcast clouds
332,Kungurtug,RU,50.5994,97.5228,52.18,87,100,7.99,overcast clouds
333,Sao Joao Da Barra,BR,-21.6403,-41.0511,63.28,75,49,4.03,scattered clouds
334,Kaitangata,NZ,-46.2817,169.8464,49.93,70,100,7.31,overcast clouds
335,Miri,MY,4.4148,114.0089,86.49,62,100,9.84,overcast clouds
336,Jasper,US,37.2001,-94.3502,71.04,84,1,4.61,haze
337,Pochutla,MX,15.7432,-96.4661,79.83,89,95,4.41,overcast clouds
338,Pevek,RU,69.7008,170.3133,35.82,88,100,17.67,overcast clouds
339,Prainha,BR,-1.8,-53.48,71.33,90,60,2.17,broken clouds
340,Margate,GB,51.3813,1.3862,57.69,75,86,1.99,overcast clouds
341,Bubaque,GW,11.2833,-15.8333,78.94,84,90,20.4,moderate rain
342,Sobolevo,RU,54.4299,31.8996,68.86,85,87,9.28,overcast clouds
343,Tolbazy,RU,54.0241,55.8825,75.96,38,97,5.55,overcast clouds
344,Shenjiamen,CN,29.9576,122.298,82.04,86,100,11.65,light rain
345,Ixtepec,MX,16.5786,-95.1022,75.27,91,95,7.92,overcast clouds
